Kelompok,Jumlah (n),Jumlah (%),Laki-laki (n),Laki-laki (%),Perempuan (n),Perempuan (%)
TIDAK / BELUM SEKOLAH,321,21.76%,151,10.24%,170,11.53%
BELUM TAMAT SD/SEDERAJAT,81,5.49%,44,2.98%,37,2.51%
TAMAT SD / SEDERAJAT,366,24.81%,170,11.53%,196,13.29%
SLTP/SEDERAJAT,476,32.27%,234,15.86%,242,16.41%
SLTA / SEDERAJAT,215,14.58%,124,8.41%,91,6.17%
AKADEMI/ DIPLOMA III/S. MUDA,2,0.14%,0,0.00%,2,0.14%
DIPLOMA IV/ STRATA I,14,0.95%,7,0.47%,7,0.47%
STRATA III,0,0.00%,0,0.00%,0,0.00%
BELUM MENGISI,0,0.00%,0,0.00%,0,0.00%
